no.,name,region,elev,lat,long,url
1,Fuji-san,Kanto,3776,35.360638,138.727347,peak.aspx?pid=10882
2,Kita-dake,Chubu,3192,35.674537,138.238833,peak.aspx?pid=10866
3,Hotaka-dake,Chubu,3190,36.289203,137.647986,peak.aspx?pid=10840
4,Aino-dake,Chubu,3189,35.646037,138.228292,peak.aspx?pid=10868
5,Yariga-take,Chubu,3180,36.34198,137.647625,peak.aspx?pid=10832
6,Warusawa-dake,Chubu,3141,35.500736,138.182417,peak.aspx?pid=10872
7,Akaishi-dake,Chubu,3120,35.461232,138.157347,peak.aspx?pid=10875
8,Ontake-san,Chubu,3067,35.892995,137.480417,peak.aspx?pid=10857
9,Shiomi-dake,Chubu,3047,35.573822,138.183069,peak.aspx?pid=10871
10,Senjoga-dake,Chubu,3033,35.720077,138.183556,peak.aspx?pid=10864
11,Norikura-dake,Chubu,3026,36.106514,137.553611,peak.aspx?pid=10848
12,Tate-yama,Chubu,3015,36.575994,137.619778,peak.aspx?pid=10826
13,Hijiri-dake,Chubu,3013,35.422554,138.139625,peak.aspx?pid=10878
14,Tsurugi-dake,Chubu,2999,36.62325,137.61687,peak.aspx?pid=10824
15,Suisho-dake,Chubu,2986,36.426322,137.602762,peak.aspx?pid=10830
16,Kaikomaga-take,Chubu,2967,35.757933,138.236814,peak.aspx?pid=10861
17,Kisokomaga-take,Chubu,2956,35.789557,137.804559,peak.aspx?pid=10860
18,Shirouma-dake,Chubu,2932,36.758578,137.7586,peak.aspx?pid=10820
19,Yakushi-dake,Chubu,2926,36.468856,137.544786,peak.aspx?pid=10829
20,Washibadake,Chubu,2924,36.402967,137.605227,peak.aspx?pid=28137
21,Yatsuga-take,Chubu,2899,35.970811,138.370057,peak.aspx?pid=10853
22,Kasaga-dake,Chubu,2897,36.315502,137.550417,peak.aspx?pid=10836
23,Kashimayariga-take,Chubu,2889,36.624555,137.747015,peak.aspx?pid=10825
24,Utsugi-dake,Chubu,2864,35.719,137.817073,peak.aspx?pid=10863
25,Jonen-dake,Chubu,2857,36.325522,137.727621,peak.aspx?pid=10835
26,Hoo-zan,Chubu,2840,35.701756,138.304573,peak.aspx?pid=10865
26,Kurobegorodake,Chubu,2840,36.392578,137.539883,peak.aspx?pid=28136
